x,y,time,label
1154,469,1770701890.3809745,human
1157,474,1770701890.387498,human
1161,479,1770701890.3932745,human
1163,485,1770701890.4000983,human
1164,495,1770701890.4066706,human
1164,502,1770701890.413726,human
1164,510,1770701890.4198577,human
1164,520,1770701890.4262705,human
1164,531,1770701890.4333813,human
1162,543,1770701890.439892,human
1158,555,1770701890.4463077,human
1154,565,1770701890.4528623,human
1150,576,1770701890.4590693,human
1146,583,1770701890.4658139,human
1142,589,1770701890.472757,human
1138,595,1770701890.4792497,human
1133,602,1770701890.48614,human
1128,606,1770701890.492081,human
1125,609,1770701890.499217,human
1121,611,1770701890.5056763,human
1117,613,1770701890.5121527,human
1111,615,1770701890.518646,human
1108,616,1770701890.5254061,human
1104,617,1770701890.532106,human
1101,617,1770701890.5388393,human
1096,617,1770701890.544999,human
1089,617,1770701890.551952,human
1083,614,1770701890.558379,human
1076,611,1770701890.5648432,human
1070,606,1770701890.5714698,human
1061,599,1770701890.57765,human
1055,592,1770701890.5844564,human
1049,584,1770701890.5911076,human
1045,578,1770701890.5977292,human
1040,572,1770701890.6046562,human
1037,563,1770701890.6108956,human
1036,555,1770701890.617623,human
1036,540,1770701890.623993,human
1038,525,1770701890.630811,human
1046,500,1770701890.6369753,human
1058,472,1770701890.6436348,human
1070,449,1770701890.65033,human
1093,418,1770701890.6570337,human
1112,390,1770701890.6636827,human
1138,364,1770701890.6700537,human
1163,345,1770701890.67665,human
1186,331,1770701890.6834261,human
1206,319,1770701890.6895826,human
1222,313,1770701890.6965492,human
1235,312,1770701890.7056742,human
1245,312,1770701890.7090032,human
1254,314,1770701890.7162635,human
1258,316,1770701890.722633,human
1260,317,1770701890.7295814,human
1263,322,1770701890.7361639,human
1265,326,1770701890.7422802,human
1266,328,1770701890.749371,human
1267,334,1770701890.7554839,human
1268,339,1770701890.7623498,human
1268,346,1770701890.7690325,human
1267,358,1770701890.7751236,human
1264,371,1770701890.7821124,human
1258,387,1770701890.7885728,human
1252,409,1770701890.7950685,human
1242,428,1770701890.8017292,human
1237,443,1770701890.8083093,human
1230,457,1770701890.8148184,human
1223,468,1770701890.8213325,human
1217,477,1770701890.8281512,human
1210,488,1770701890.8345497,human
1203,497,1770701890.8413086,human
1197,506,1770701890.8489387,human
1190,514,1770701890.854357,human
1184,519,1770701890.8611567,human
1180,523,1770701890.8677497,human
1174,527,1770701890.8736773,human
1167,530,1770701890.8806574,human
1162,533,1770701890.8872206,human
1158,535,1770701890.893286,human
1154,536,1770701890.9004533,human
1151,536,1770701890.9069614,human
1143,536,1770701890.9137635,human
1136,535,1770701890.919914,human
1129,532,1770701890.9262307,human
1118,528,1770701890.9330766,human
1109,524,1770701890.9398813,human
1100,519,1770701890.9464836,human
1091,514,1770701890.95299,human
1085,507,1770701890.9591403,human
1079,501,1770701890.9661846,human
1074,497,1770701890.972536,human
1070,492,1770701890.9795375,human
1066,486,1770701890.9858727,human
1065,479,1770701890.9921634,human
1064,474,1770701890.9992924,human
1064,469,1770701891.0055723,human
1066,458,1770701891.0122383,human
1068,448,1770701891.0187643,human
1076,436,1770701891.0253081,human
1085,422,1770701891.032296,human
1094,411,1770701891.0385895,human
1107,400,1770701891.0450134,human
1118,391,1770701891.0517132,human
1132,383,1770701891.05785,human
1144,378,1770701891.0652034,human
